,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
NXT.L,0.533213645,0.351234634,0.486535009,0.449208918,0.531418312,0.35045328,0.522441652,0.371449177
GSK.L,0.421903052,0.296717172,0.459605027,0.442342297,0.570915619,0.559931241,0.526032316,0.370298047
REL.L,0.55475763,0.458341176,0.533213645,0.456723988,0.47935368,0.479069917,0.583482944,0.368480726
AAL.L,0.511669659,0.33847981,0.511669659,0.428027786,0.511669659,0.33847981,0.499102334,0.367594096
BLND.L,0.454219031,0.312345679,0.450628366,0.447635529,0.490125673,0.478546941,0.452423698,0.363690844
RTO.L,0.610412926,0.51213123,0.561938959,0.394349376,0.52064632,0.498913384,0.561938959,0.363512045
NG.L,0.561938959,0.465097607,0.511669659,0.505341518,0.486535009,0.479446057,0.570915619,0.363428571
BA.L,0.536804309,0.403907417,0.517055655,0.51429405,0.472172352,0.471557466,0.549371634,0.361743021
CRDA.L,0.552962298,0.356069364,0.551166966,0.417266488,0.540394973,0.52412228,0.552962298,0.359719869
EVR.L,0.490125673,0.346676138,0.493716338,0.374705414,0.481149013,0.385244931,0.511669659,0.357271339
CCH.L,0.486535009,0.483737782,0.540394973,0.425606651,0.421903052,0.408775053,0.551166966,0.355324074
CPG.L,0.552962298,0.552754712,0.511669659,0.482143834,0.55475763,0.551564732,0.547576302,0.353828306
BKG.L,0.538599641,0.396883914,0.506283662,0.498360892,0.497307002,0.427089456,0.538599641,0.353568606
OCDO.L,0.52064632,0.449696391,0.47935368,0.46307007,0.47037702,0.413104121,0.538599641,0.350058343
WPP.L,0.493716338,0.492523908,0.499102334,0.498578688,0.499102334,0.404506351,0.461400359,0.349521971
DGE.L,0.475763016,0.469814322,0.533213645,0.416631755,0.513464991,0.495890567,0.536804309,0.349299065
JE.L,0.523404255,0.476999503,0.446808511,0.351724138,0.446808511,0.434981228,0.482978723,0.346157149
KGF.L,0.499102334,0.426652401,0.47037702,0.370356178,0.50448833,0.474528302,0.47037702,0.344609175
SBRY.L,0.486535009,0.358294931,0.452423698,0.409606984,0.452423698,0.431033039,0.486535009,0.342075266
