,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
IHG.L,0.481149013,0.442870839,0.454219031,0.374360793,0.506283662,0.483084451,0.515260323,0.340047393
TW.L,0.497307002,0.332134293,0.472172352,0.412885415,0.454219031,0.452933575,0.475763016,0.339489929
UU.L,0.461400359,0.447289037,0.434470377,0.420659528,0.500897666,0.495983387,0.513464991,0.339264531
ABF.L,0.511669659,0.371561307,0.499102334,0.487445291,0.526032316,0.521016287,0.500897666,0.333732057
WTB.L,0.526032316,0.501734888,0.499102334,0.491064323,0.506283662,0.496408199,0.497307002,0.332134293
ANTO.L,0.47935368,0.324029126,0.472172352,0.375655768,0.486535009,0.358294931,0.481149013,0.330821066
STJ.L,0.493716338,0.330528846,0.490125673,0.466590235,0.452423698,0.452416638,0.493716338,0.330528846
SMDS.L,0.441651706,0.423055531,0.488330341,0.4876698,0.484739677,0.440882366,0.484739677,0.326481258
PRU.L,0.461400359,0.315724816,0.468581688,0.39435171,0.47935368,0.399606007,0.441651706,0.31948553
BLND.L,0.472172352,0.3505996,0.536804309,0.536802816,0.488330341,0.48011947,0.454219031,0.312345679
BRBY.L,0.526032316,0.52599412,0.427289048,0.395358413,0.52064632,0.5150188,0.456014363,0.303628289
ALL,0.504890589,0.417338108,0.503206865,0.46382482,0.500226905,0.46229876,0.514812277,0.417731418
