,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
INF.L,0.536804309,0.427921975,0.423698384,0.403701913,0.380610413,0.350462567,0.522441652,0.343160377
IHG.L,0.511669659,0.489128675,0.464991023,0.344260611,0.583482944,0.57355193,0.518850987,0.341607565
ULVR.L,0.535008977,0.439426615,0.482944345,0.348538012,0.47037702,0.411633062,0.517055655,0.340828402
UU.L,0.438061041,0.434202114,0.448833034,0.419107731,0.472172352,0.471421009,0.513464991,0.339264531
AAL.L,0.511669659,0.33847981,0.517055655,0.421880366,0.511669659,0.33847981,0.511669659,0.33847981
ITRK.L,0.511669659,0.33847981,0.508078995,0.3696805,0.527827648,0.505640766,0.511669659,0.33847981
PSN.L,0.508078995,0.336904762,0.511669659,0.354268958,0.459605027,0.430460674,0.508078995,0.336904762
PSON.L,0.517055655,0.508378367,0.472172352,0.449515934,0.527827648,0.519803976,0.502692998,0.334528076
ABF.L,0.412926391,0.392556154,0.511669659,0.435158673,0.47935368,0.451741881,0.500897666,0.333732057
EVR.L,0.500897666,0.333732057,0.509874327,0.353407917,0.500897666,0.333732057,0.500897666,0.333732057
LGEN.L,0.497307002,0.358632715,0.484739677,0.481504186,0.416517056,0.415242931,0.500897666,0.333732057
TW.L,0.497307002,0.332134293,0.484739677,0.329520814,0.459605027,0.457815507,0.497307002,0.332134293
RDSA.L,0.436265709,0.30375,0.434470377,0.313268857,0.416517056,0.407153781,0.450628366,0.331662902
JMAT.L,0.472172352,0.471421009,0.500897666,0.499541059,0.511669659,0.51015235,0.493716338,0.330528846
MNDI.L,0.486535009,0.382090548,0.497307002,0.341407385,0.459605027,0.418554163,0.493716338,0.330528846
STJ.L,0.493716338,0.330528846,0.484739677,0.338345647,0.499102334,0.481009107,0.493716338,0.330528846
WPP.L,0.482944345,0.480894688,0.500897666,0.499346887,0.493716338,0.390732638,0.450628366,0.329179786
TUI.L,0.448717949,0.442857143,0.5,0.499259259,0.419871795,0.414087547,0.490384615,0.329032258
NMC.L,0.490125673,0.328915663,0.508078995,0.3723763,0.466786355,0.445956763,0.490125673,0.328915663
LAND.L,0.515260323,0.340047393,0.542190305,0.495164369,0.552962298,0.521888412,0.484739677,0.326481258
SMDS.L,0.538599641,0.499326718,0.567324955,0.557255609,0.497307002,0.496448405,0.484739677,0.326481258
FLTR.L,0.482944345,0.32566586,0.482944345,0.32566586,0.482944345,0.32566586,0.482944345,0.32566586
RSA.L,0.481149013,0.324848485,0.436265709,0.386253895,0.551166966,0.511348643,0.481149013,0.324848485
ANTO.L,0.47935368,0.324029126,0.484739677,0.352128716,0.47935368,0.324029126,0.47935368,0.324029126
BHP.L,0.526032316,0.344705882,0.526032316,0.344705882,0.526032316,0.344705882,0.473967684,0.321559074
