,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
MRW.L,0.52962298,0.505509623,0.524236984,0.436297255,0.499102334,0.478774036,0.447037702,0.311683518
RSA.L,0.524236984,0.48913762,0.502692998,0.472142679,0.502692998,0.481738634,0.488330341,0.304958127
BATS.L,0.497307002,0.479508744,0.477558348,0.4378713,0.484739677,0.482578256,0.456014363,0.302403656
DCC.L,0.484739677,0.45104308,0.49551167,0.451366178,0.499102334,0.48376756,0.508078995,0.302336537
CCL.L,0.502692998,0.422106111,0.540394973,0.496184069,0.52962298,0.49838448,0.52064632,0.301160755
CPG.L,0.517055655,0.390260974,0.547576302,0.396044887,0.52962298,0.469870677,0.545780969,0.298821327
IMB.L,0.436265709,0.424086563,0.481149013,0.473760433,0.42010772,0.418638618,0.438061041,0.292127389
GSK.L,0.423698384,0.423690954,0.409335727,0.390467162,0.454219031,0.453442132,0.472172352,0.291715253
VOD.L,0.450628366,0.450612429,0.477558348,0.47701218,0.509874327,0.504869543,0.432675045,0.289717201
PHNX.L,0.524236984,0.502666842,0.509874327,0.413283791,0.526032316,0.48512605,0.506283662,0.280716924
WPP.L,0.434470377,0.393965038,0.421903052,0.41701555,0.515260323,0.511479691,0.447037702,0.27847997
SGE.L,0.552962298,0.410251177,0.543985637,0.447265198,0.538599641,0.45146284,0.545780969,0.273903776
WTB.L,0.47037702,0.468396243,0.477558348,0.460158069,0.491921005,0.486732896,0.466786355,0.234588353
POLY.L,0.560143627,0.532258451,0.556552962,0.481430806,0.55475763,0.52868763,0.540394973,0.219290229
FERG.L,0.500897666,0.413515438,0.556552962,0.39777985,0.488330341,0.420953569,0.450628366,0.194565353
MRO.L,0.606822262,0.592047837,0.552962298,0.491245832,0.588868941,0.555788887,0.486535009,0.144935226
ITV.L,0.508078995,0.507505938,0.551166966,0.527363691,0.513464991,0.511645362,0.436265709,0.127521141
ALL ,0.515887273,0.452026283,0.518039902,0.451934902,0.512727279,0.471851126,0.511987928,0.388659351
,,,,,,,,
,,,,,,,,
,,,51,,,,,
