,SVM,fSVM,Logistic reg,flog reg,XBGoost,fXGB,LSTM,flstm
CCH.L,0.49551167,0.459378335,0.511669659,0.48992674,0.497307002,0.481584896,0.484739677,0.465377759
IHG.L,0.536804309,0.430118017,0.488330341,0.437124368,0.499102334,0.468331435,0.524236984,0.464526053
VOD.L,0.490125673,0.471339197,0.52962298,0.527060486,0.526032316,0.525773994,0.47037702,0.46329123
HSBA.L,0.508078995,0.500412455,0.513464991,0.509187273,0.50448833,0.503782988,0.459605027,0.455894046
BA.L,0.499102334,0.440692606,0.527827648,0.510772026,0.517055655,0.503510778,0.473967684,0.455715453
LSE.L,0.526032316,0.477975633,0.526032316,0.47921802,0.576301616,0.540737325,0.475763016,0.455676037
ULVR.L,0.47935368,0.452663323,0.502692998,0.488114315,0.52064632,0.510549648,0.484739677,0.453086458
HLMA.L,0.588868941,0.455071708,0.561938959,0.423434583,0.552962298,0.472098202,0.558348294,0.452402647
CRH.L,0.52064632,0.493030486,0.499102334,0.485053929,0.549371634,0.537835738,0.524236984,0.452188758
MGGT.L,0.456014363,0.455565126,0.454219031,0.454132818,0.481149013,0.481041959,0.452423698,0.450375777
RTO.L,0.563734291,0.367958758,0.556552962,0.474586498,0.558348294,0.458684934,0.538599641,0.447670089
SGE.L,0.547576302,0.387121,0.511669659,0.436871841,0.545780969,0.490142659,0.538599641,0.447670089
SPX.L,0.57989228,0.419171123,0.536804309,0.44258518,0.515260323,0.472256534,0.547576302,0.447559824
LAND.L,0.565529623,0.563999224,0.500897666,0.499541059,0.542190305,0.542042696,0.473967684,0.446538001
TUI.L,0.477564103,0.467448558,0.46474359,0.464474022,0.426282051,0.423671094,0.480769231,0.446153846
REL.L,0.57989228,0.406605114,0.561938959,0.445780185,0.551166966,0.48992674,0.561938959,0.443456183
PSON.L,0.490125673,0.487348008,0.473967684,0.473288602,0.508078995,0.508077409,0.443447038,0.443430892
EVR.L,0.461400359,0.409590706,0.484739677,0.442092185,0.488330341,0.47128883,0.459605027,0.440085094
MNDI.L,0.497307002,0.344397363,0.468581688,0.385319733,0.493716338,0.466866243,0.50448833,0.440013405
AV.L,0.44524237,0.431040809,0.47037702,0.463732641,0.47037702,0.463732641,0.448833034,0.436623013
BDEV.L,0.506283662,0.436510652,0.482944345,0.443092818,0.526032316,0.497374897,0.482944345,0.435806533
BNZL.L,0.502692998,0.43076242,0.488330341,0.409063667,0.49551167,0.469205387,0.524236984,0.43047694
NMC.L,0.493716338,0.339714487,0.491921005,0.398008012,0.481149013,0.434485981,0.490125673,0.428428964
BLND.L,0.49551167,0.48644729,0.482944345,0.476667711,0.513464991,0.511424068,0.439856373,0.427136076
SMT.L,0.565529623,0.361238532,0.535008977,0.435354393,0.563734291,0.378647863,0.561938959,0.426083578
TW.L,0.52962298,0.503828369,0.490125673,0.456264093,0.513464991,0.492193519,0.513464991,0.425456276
RMV.L,0.533213645,0.399286544,0.526032316,0.455071003,0.506283662,0.460660904,0.545780969,0.424137663
